product_no,review_cnt,review_score,sale_cnt
9523,0,0,0
10302,0,0,0
10301,0,0,0
10304,0,0,1
30999,0,0,2
28637,0,0,1
13649,1,5,3
23602,0,0,3
31755,0,0,4
10853,0,0,2
33576,0,0,0
19406,3,5,15
33291,0,0,0
15323,1,5,7
32419,0,0,5
32824,0,0,0
10802,19,4.89474,200
32230,1,5,60
33483,0,0,0
30531,0,0,0
10551,1,5,36
8500,3,4.66667,15
8260,0,0,9
16076,0,0,1
15324,0,0,7
15503,1,5,5
30335,0,0,1
32469,0,0,45
7054,5,5,22
32473,0,0,52
16019,0,0,1
27503,0,0,2
33482,0,0,1
15506,0,0,3
16775,4,4.5,32
16155,5,4.8,52
32468,0,0,14
32450,0,0,11
33046,0,0,0
1651,20,4.75,123
15326,1,5,4
17231,0,0,4
19317,0,0,3
15328,0,0,3
29967,1,5,5
31899,4,4.75,58
15584,0,0,1
25817,0,0,4
32415,0,0,24
21350,0,0,1
29945,1,5,3
19405,15,5,51
11882,4,4.75,67
30029,1,5,2
15554,1,5,21
32478,0,0,12
33045,0,0,0
33136,0,0,0
33509,0,0,0
33067,0,0,1
15422,2,5,4
13513,1,5,6
13240,0,0,3
32721,0,0,1
32006,0,0,2
26675,0,0,1
24293,0,0,12
25829,0,0,7
24687,0,0,2
25541,0,0,10
33174,0,0,0
24296,0,0,2
25511,0,0,8
24690,0,0,2
24683,0,0,0
33119,0,0,8
24680,0,0,1
24689,0,0,4
30454,0,0,3
26452,0,0,1
26455,0,0,1
32909,0,0,1
32896,0,0,2
24685,0,0,0
20588,0,0,0
26525,1,5,16
28261,4,4.5,98
30453,0,0,0
24682,0,0,8
24684,0,0,6
19851,0,0,5
24679,0,0,2
24688,0,0,5
31947,0,0,0
32635,0,0,0
30263,0,0,1
32717,0,0,0
33086,0,0,0
24686,0,0,5
26076,1,5,4
32695,1,5,31
33236,0,0,2
32008,0,0,1
24692,0,0,2
33084,0,0,0
26527,0,0,5
25951,0,0,3
12794,0,0,4
32047,0,0,0
9690,0,0,0
9715,0,0,0
27736,0,0,0
14394,0,0,0
14393,0,0,0
14401,0,0,0
18188,0,0,0
29108,0,0,0
29074,0,0,2
29073,0,0,2
28770,0,0,1
28732,0,0,0
26632,0,0,1
33238,0,0,3
32500,0,0,3
27788,0,0,0
11330,0,0,0
11331,0,0,0
11332,0,0,0
11333,0,0,0
11334,0,0,1
9689,0,0,4
18869,0,0,3
18062,0,0,2
32615,0,0,0
32616,0,0,0
21967,1,4,2
17150,0,0,1
16758,0,0,0
17137,0,0,3
18455,1,5,2
16764,0,0,1
22882,0,0,0
29125,0,0,2
31871,0,0,0
32228,0,0,0
31555,0,0,0
25072,0,0,4
25075,0,0,1
25074,1,5,6
31824,0,0,2
26874,0,0,3
29129,0,0,0
29180,0,0,9
27486,0,0,0
27518,0,0,1
27517,0,0,5
28590,0,0,6
29127,0,0,0
32116,0,0,0
31556,0,0,2
31889,0,0,0
32062,0,0,0
31896,0,0,0
32235,0,0,0
31826,0,0,1
27521,0,0,4
28608,0,0,5
32350,0,0,0
31877,0,0,1
18243,0,0,12
27562,0,0,0
31554,0,0,1
31866,0,0,0
32349,0,0,1
31868,0,0,1
31823,0,0,0
32231,0,0,0
31557,1,5,3
18818,1,5,5
27480,0,0,2
26875,0,0,2
32232,0,0,1
20733,0,0,1
32110,0,0,1
31553,0,0,0
31825,0,0,1
19015,0,0,0
29122,0,0,1
20850,0,0,1
32115,0,0,0
32046,0,0,1
31822,0,0,1
28600,0,0,1
27488,0,0,4
32048,0,0,3
31881,0,0,4
31898,0,0,1
32233,0,0,0
32234,0,0,2
31893,0,0,2
18916,1,5,3
18917,0,0,1
27515,0,0,0
20732,0,0,1
20718,0,0,1
32221,0,0,0
32348,0,0,0
20856,0,0,0
32347,0,0,0
18058,1,5,15
18240,0,0,12
32332,0,0,4
31888,0,0,2
24613,0,0,0
24409,0,0,0
24437,0,0,0
24410,0,0,0
29386,1,5,5
28042,0,0,1
32691,0,0,0
33145,0,0,1
4135,1,5,1
6791,0,0,0
6264,0,0,0
31997,0,0,0
31998,0,0,0
31999,0,0,0
14339,0,0,0
32001,0,0,0
15867,0,0,1
31027,0,0,0
18412,0,0,4
33047,0,0,1
28805,1,4,2
5797,0,0,0
14392,0,0,0
3106,2,5,3
32960,0,0,0
30170,0,0,0
28368,0,0,1
27642,0,0,0
28367,0,0,0
29534,0,0,0
30094,0,0,0
28372,0,0,0
28370,0,0,0
28369,0,0,0
29539,0,0,1
29535,0,0,0
30559,0,0,0
28371,0,0,0
28373,0,0,2
28366,0,0,0
32685,0,0,0
32684,0,0,0
17647,1,5,4
28856,0,0,0
28898,0,0,4
29694,0,0,2
28901,0,0,2
28863,1,5,1
11543,0,0,0
11544,1,4,5
33063,0,0,1
33070,0,0,0
26461,0,0,0
32585,0,0,0
26175,0,0,0
26174,0,0,0
26167,0,0,1
26173,0,0,0
31758,0,0,0
26177,0,0,2
25434,0,0,1
26179,0,0,0
25445,0,0,0
25446,0,0,0
26199,0,0,0
26200,0,0,0
25448,0,0,0
25447,0,0,0
26198,0,0,0
26197,0,0,2
25433,1,5,3
23840,0,0,1
23841,0,0,3
23845,0,0,5
23844,0,0,0
25440,0,0,0
25441,0,0,0
25439,0,0,2
25436,0,0,1
25438,0,0,1
25437,0,0,1
25444,0,0,1
25443,0,0,2
26180,0,0,0
26196,0,0,0
26195,0,0,0
25435,0,0,0
23842,2,5,2
26176,0,0,0
26178,0,0,0
26378,0,0,0
26377,0,0,0
26376,0,0,0
26375,0,0,0
26219,0,0,0
26217,0,0,0
26218,0,0,1
26374,0,0,0
26371,0,0,0
26372,0,0,0
26373,0,0,0
26380,0,0,0
26220,0,0,0
21886,0,0,0
32055,0,0,0
26566,0,0,1
28729,1,5,1
26997,0,0,0
15032,0,0,2
14566,0,0,0
27012,0,0,0
30293,0,0,0
16486,1,5,6
16485,0,0,0
16487,0,0,1
33077,0,0,1
30306,0,0,0
33597,0,0,0
32317,0,0,0
30255,0,0,5
30121,0,0,2
30122,0,0,1
28712,0,0,2
32374,0,0,2
29896,1,4,2
29902,0,0,2
28567,0,0,2
32054,0,0,1
32484,0,0,0
32425,0,0,0
32482,0,0,0
32480,0,0,5
28643,0,0,1
32057,0,0,1
28479,0,0,0
30300,0,0,1
32052,0,0,0
32487,0,0,3
32486,0,0,4
32375,0,0,0
29707,0,0,1
32051,0,0,2
28415,3,4.66667,12
32378,0,0,0
29909,0,0,1
29905,0,0,2
32371,0,0,0
32588,0,0,0
28397,0,0,6
32368,0,0,0
32576,0,0,0
30309,0,0,5
32490,0,0,3
28711,0,0,0
28710,0,0,0
29706,0,0,0
32373,0,0,0
32479,0,0,0
32422,0,0,2
32266,0,0,1
32160,0,0,1
32044,0,0,3
32186,0,0,3
32134,0,0,0
30299,0,0,0
32406,0,0,0
32675,0,0,0
32481,0,0,0
32574,0,0,0
32483,0,0,0
32370,0,0,0
33083,0,0,0
30310,0,0,5
32573,0,0,1
28563,0,0,0
32376,0,0,0
30460,0,0,0
29900,0,0,1
32377,0,0,0
29464,0,0,0
32629,0,0,0
30369,0,0,0
33090,0,0,0
28416,2,5,25
32578,0,0,3
30987,0,0,0
33081,0,0,0
32379,0,0,0
32372,0,0,0
28705,0,0,11
29899,0,0,0
32586,0,0,5
28562,0,0,0
527,0,0,1
26141,0,0,0
31438,0,0,1
8433,0,0,1
10162,2,5,22
26902,0,0,0
29017,0,0,2
29418,0,0,0
29417,0,0,0
11449,0,0,0
11400,0,0,0
32887,0,0,0
31675,0,0,0
13975,0,0,0
23454,0,0,0
18840,0,0,1
31399,0,0,1
16714,0,0,0
14952,0,0,2
16713,0,0,1
26657,0,0,0
5032,0,0,2
16488,6,5,16
30690,0,0,0
30738,0,0,0
29153,0,0,0
28133,1,5,8
8519,0,0,0
11793,4,5,6
27455,0,0,2
27634,0,0,12
32671,0,0,1
28883,0,0,1
28909,0,0,1
33406,0,0,0
21077,0,0,0
6061,0,0,1
9186,2,4.5,3
33286,0,0,0
28452,0,0,0
31689,0,0,2
29204,0,0,2
28871,0,0,0
31695,0,0,0
31705,0,0,1
31704,0,0,0
27709,0,0,0
31700,0,0,0
27677,0,0,0
31687,0,0,1
31701,0,0,0
31703,0,0,0
31979,0,0,2
31692,0,0,0
31694,0,0,1
29115,0,0,0
31691,0,0,0
31690,0,0,0
31702,0,0,0
32609,0,0,0
30062,0,0,0
26881,0,0,1
15453,16,4.9375,86
17380,0,0,0
31422,0,0,0
28744,0,0,5
30392,0,0,0
29547,0,0,1
28723,0,0,0
10047,0,0,1
10045,0,0,1
10043,0,0,0
28855,0,0,1
28889,0,0,1
8042,0,0,4
28857,0,0,1
32663,0,0,0
10159,0,0,0
20240,0,0,0
8432,0,0,1
8831,0,0,3
27054,4,5,10
31579,3,5,24
29216,3,5,14
29456,0,0,0
29454,0,0,0
29459,0,0,0
31946,0,0,1
33518,0,0,17
33513,0,0,19
33514,0,0,19
33516,0,0,28
33515,0,0,24
33517,0,0,28
33519,0,0,18
14193,0,0,0
31325,0,0,0
31116,0,0,1
31326,0,0,0
31327,0,0,0
31328,0,0,0
31329,0,0,0
31330,0,0,0
31334,0,0,6
31337,0,0,0
31117,0,0,7
31339,0,0,1
31120,0,0,6
31347,0,0,0
31351,0,0,1
31354,0,0,0
31356,0,0,0
31359,1,5,7
31323,0,0,6
31344,0,0,0
28403,0,0,0
28402,0,0,1
28406,0,0,4
28404,0,0,1
28400,0,0,4
28407,0,0,0
28401,0,0,0
28408,0,0,2
28405,0,0,0
28409,1,3,2
33618,0,0,0
33622,0,0,0
33627,0,0,0
33630,0,0,0
33635,0,0,0
33626,0,0,0
33624,0,0,0
33625,0,0,0
33642,0,0,0
33636,0,0,0
33645,0,0,0
33648,0,0,0
33647,0,0,1
33641,0,0,1
33643,0,0,0
33644,0,0,0
33646,0,0,0
22649,0,0,0
22648,0,0,0
22646,0,0,0
24947,0,0,0
23773,0,0,0
22656,0,0,0
23771,0,0,0
24946,0,0,0
22647,0,0,0
22654,0,0,0
22669,0,0,0
22659,0,0,0
22650,0,0,0
24945,0,0,0
22655,0,0,0
22658,0,0,0
22652,0,0,0
26137,0,0,0
26122,0,0,0
26136,0,0,0
26135,0,0,0
26139,0,0,0
26453,0,0,0
26123,0,0,0
26134,0,0,0
26138,0,0,0
14406,0,0,0
14442,0,0,0
14413,0,0,0
14344,0,0,0
14360,0,0,0
14414,0,0,0
14412,0,0,0
29227,0,0,0
24944,0,0,0
24941,0,0,0
24950,0,0,1
24943,0,0,0
24949,0,0,0
26121,0,0,1
26120,0,0,0
14410,0,0,1
14441,0,0,0
14444,0,0,0
14407,0,0,0
14446,0,0,0
14445,0,0,0
25257,0,0,0
30527,0,0,0
29821,0,0,0
26458,0,0,0
26182,0,0,0
26185,0,0,0
26186,0,0,0
26181,0,0,0
26187,0,0,0
26191,0,0,0
26188,0,0,0
31759,0,0,0
31761,0,0,0
30732,0,0,0
31760,0,0,0
26216,0,0,2
26647,0,0,1
26652,0,0,0
26649,0,0,1
26655,0,0,3
26488,0,0,1
26457,0,0,0
26209,0,0,1
26469,0,0,0
26467,0,0,1
26470,0,0,1
26466,0,0,0
26468,0,0,0
26474,0,0,2
26473,0,0,0
26472,0,0,0
26471,0,0,0
26464,0,0,0
26463,0,0,0
26462,0,0,0
26465,0,0,0
26192,0,0,2
26194,0,0,1
26193,0,0,0
26476,0,0,0
26480,1,5,4
26477,0,0,0
26479,0,0,0
26478,0,0,0
26379,0,0,2
26485,0,0,0
26213,0,0,1
26210,1,4,3
26459,0,0,1
26214,0,0,2
26183,0,0,0
26184,0,0,0
26189,0,0,0
26190,0,0,0
26456,0,0,4
31757,0,0,0
26215,0,0,1
26460,0,0,1
32192,0,0,1
12353,0,0,0
1222,0,0,0
1140,1,5,3
4120,1,5,1
18839,0,0,0
30491,0,0,1
30517,0,0,0
30205,0,0,1
32333,0,0,0
32340,0,0,1
32848,0,0,0
30192,0,0,0
32321,0,0,0
30188,0,0,0
30203,0,0,0
30510,0,0,1
30208,0,0,0
32329,0,0,0
29847,0,0,0
30206,0,0,0
30196,0,0,0
32337,0,0,0
32344,0,0,0
30193,0,0,1
32334,0,0,1
32323,0,0,0
8523,1,5,1
30200,0,0,0
30191,0,0,0
32327,0,0,0
32330,0,0,0
32331,0,0,0
32339,0,0,0
30993,0,0,0
32328,0,0,0
32338,0,0,0
32342,0,0,0
32343,0,0,0
30189,0,0,0
32655,0,0,0
10716,1,5,2
10722,0,0,4
31196,0,0,0
32654,0,0,0
32336,0,0,2
32326,0,0,0
32335,0,0,2
32854,0,0,0
32846,0,0,0
22637,0,0,0
23765,0,0,0
22634,0,0,0
23766,0,0,0
22643,0,0,0
22645,0,0,0
22635,0,0,0
23769,0,0,0
23772,0,0,1
23768,0,0,0
24948,0,0,0
22636,0,0,0
22639,0,0,0
23767,0,0,0
24951,0,0,0
23770,0,0,1
22640,0,0,0
8335,1,5,1
3988,1,5,4
1147,1,5,3
8061,1,4,14
7898,1,5,5
29052,0,0,0
32034,0,0,0
32035,0,0,0
32036,0,0,0
29059,0,0,0
29317,0,0,0
29061,0,0,0
29062,0,0,0
29055,0,0,0
29056,0,0,0
29409,0,0,0
29050,0,0,0
29060,0,0,0
29053,0,0,0
28486,0,0,0
29139,0,0,0
10205,0,0,0
28395,0,0,0
28394,0,0,0
28396,1,5,1
28390,0,0,0
28388,0,0,0
15363,0,0,0
15366,0,0,0
18605,0,0,0
28391,0,0,0
14697,0,0,0
14659,0,0,0
30941,0,0,0
30936,0,0,0
30937,1,5,3
30943,0,0,1
30944,0,0,1
30928,0,0,0
30930,0,0,2
30940,0,0,0
30925,0,0,0
30923,0,0,0
30924,0,0,0
30934,0,0,0
30933,0,0,0
30938,0,0,1
30945,0,0,0
30939,0,0,1
30922,0,0,1
30931,0,0,0
30927,0,0,0
30935,0,0,0
30926,0,0,0
30942,0,0,0
30929,0,0,2
30948,0,0,0
30949,0,0,0
30932,0,0,0
30947,0,0,0
30946,0,0,0
3459,0,0,2
17632,1,5,8
23558,0,0,1
23549,1,5,2
9536,0,0,2
11392,1,5,6
23245,0,0,0
15926,0,0,6
10978,0,0,0
18022,1,5,4
10805,0,0,0
10804,0,0,1
21097,1,5,8
17043,0,0,1
24753,0,0,4
11500,1,5,3
21065,0,0,0
20740,0,0,2
13177,0,0,0
23257,0,0,1
21413,2,5,13
24752,2,5,4
13446,0,0,1
18867,0,0,5
23456,0,0,0
25091,0,0,0
12945,0,0,1
14231,0,0,9
29862,0,0,0
29864,0,0,0
29866,0,0,0
25308,1,5,4
21240,1,5,6
29229,0,0,1
32856,0,0,0
30190,0,0,1
29458,0,0,1
20481,0,0,0
25137,0,0,0
29850,0,0,0
29463,0,0,0
25135,0,0,0
30522,0,0,0
29243,0,0,0
31074,0,0,0
29845,0,0,1
32660,0,0,0
30202,1,5,1
32850,0,0,0
30489,0,0,0
32325,0,0,0
32658,0,0,1
30509,0,0,0
29462,0,0,0
32859,0,0,0
31215,0,0,0
31197,0,0,0
29449,0,0,0
30519,0,0,0
30021,0,0,0
30505,0,0,0
20857,1,5,6
29858,0,0,0
30513,0,0,0
30174,0,0,0
32853,0,0,1
32657,0,0,1
30018,0,0,0
29853,0,0,1
32667,0,0,0
29597,0,0,0
25220,0,0,0
17170,0,0,0
32668,0,0,1
30495,0,0,0
15790,13,4.92308,43
30525,0,0,0
29279,0,0,1
32849,0,0,0
32324,0,0,0
29846,0,0,1
20991,0,0,3
30504,0,0,0
30516,0,0,0
30521,0,0,0
30518,0,0,0
30199,0,0,0
30176,0,0,0
29281,0,0,0
30507,1,5,2
30497,0,0,0
30493,0,0,3
29452,0,0,1
29230,0,0,0
31000,0,0,1
29265,0,0,0
30011,0,0,1
25136,0,0,0
30016,1,5,1
30024,0,0,1
29857,1,5,1
30178,0,0,0
30201,0,0,0
30195,0,0,1
25242,0,0,1
30995,0,0,0
30186,0,0,0
30185,0,0,1
31194,0,0,1
30207,0,0,0
29465,0,0,0
30506,0,0,0
30015,0,0,0
29451,0,0,0
25288,0,0,0
30494,0,0,0
29854,0,0,0
30179,0,0,1
31195,0,0,0
29591,0,0,0
32855,0,0,0
29595,0,0,1
32662,0,0,0
30184,0,0,0
30014,0,0,0
30526,0,0,1
30520,0,0,0
29598,0,0,1
30197,0,0,0
30528,0,0,0
29849,0,0,0
30194,0,0,0
29450,0,0,0
30023,0,0,0
30175,0,0,0
30017,0,0,0
32851,0,0,0
30524,0,0,1
32664,0,0,0
30012,0,0,0
32669,0,0,1
29856,0,0,1
25231,1,5,3
29589,0,0,0
32852,0,0,0
29582,0,0,0
30529,0,0,2
19852,1,5,7
19512,1,5,2
20982,0,0,3
19846,0,0,11
18979,0,0,0
18976,0,0,4
18978,0,0,0
19511,0,0,2
19513,0,0,2
19514,0,0,0
19119,0,0,3
19125,0,0,2
19122,0,0,3
19126,0,0,0
19974,0,0,2
19123,0,0,0
19128,0,0,0
19620,0,0,0
20979,0,0,4
19616,0,0,0
20981,1,4,4
19843,0,0,1
19211,0,0,0
19210,0,0,0
20983,0,0,5
19854,0,0,1
10684,7,4.85714,56
10633,0,0,1
13864,1,3,10
10411,0,0,2
10636,0,0,1
27409,0,0,0
27410,0,0,1
14102,0,0,0
13205,1,4,8
10123,3,4.33333,19
24550,0,0,1
10120,0,0,9
11011,1,1,4
10480,1,5,8
10124,0,0,4
10410,1,5,3
10408,0,0,11
15375,0,0,2
13207,1,5,4
10117,1,5,4
25465,0,0,2
10630,0,0,1
11014,0,0,3
14678,0,0,1
15424,0,0,0
15430,0,0,4
15428,0,0,0
15435,0,0,1
15427,0,0,1
15425,0,0,1
15433,0,0,0
32912,0,0,0
8183,0,0,0
31800,0,0,0
31802,0,0,1
31803,1,5,1
32353,0,0,0
31806,0,0,0
31805,0,0,0
32352,0,0,0
32354,0,0,0
31804,0,0,0
9291,1,1,8
7673,0,0,3
9223,0,0,3
11502,0,0,0
8082,0,0,0
4432,0,0,1
7481,0,0,4
25633,0,0,1
26532,0,0,0
19577,0,0,0
14016,0,0,0
14022,0,0,0
14017,0,0,0
14931,0,0,0
29843,0,0,1
28398,1,5,2
12345,1,5,2
13773,0,0,0
13664,0,0,1
13661,0,0,0
13796,0,0,0
13798,0,0,0
13799,0,0,0
13713,0,0,1
13712,0,0,1
13761,0,0,0
13769,0,0,1
13771,0,0,0
7975,0,0,3
13675,0,0,0
13666,0,0,2
13671,0,0,0
13668,0,0,1
23787,3,4.33333,216
23789,5,5,381
8252,1,3,10
1143,1,5,2
1142,2,5,10
25379,0,0,0
25380,0,0,2
16289,0,0,2
28174,0,0,0
20050,0,0,0
20048,0,0,1
20049,0,0,0
20052,0,0,1
17132,1,5,5
12347,0,0,0
13908,0,0,25
13902,0,0,9
13906,2,4.5,7
25568,0,0,1
25569,1,5,3
31275,0,0,0
29820,0,0,0
6054,0,0,6
6053,0,0,8
10840,0,0,1
12874,0,0,1
12882,0,0,0
6316,0,0,3
9084,0,0,0
16029,0,0,1
9079,0,0,0
26440,0,0,3
10841,0,0,0
9917,0,0,0
9907,0,0,0
9914,0,0,1
9915,0,0,0
9911,0,0,0
9912,0,0,1
9887,0,0,0
9894,0,0,0
9910,0,0,0
9913,0,0,0
9916,0,0,0
9920,0,0,0
9919,0,0,0
9918,0,0,0
9888,0,0,2
9896,0,0,1
9909,0,0,0
10864,0,0,0
10876,0,0,0
11660,0,0,0
9908,0,0,0
24311,0,0,0
24309,0,0,0
24307,0,0,0
24310,0,0,0
24308,0,0,0
11661,0,0,0
17182,0,0,0
14105,0,0,2
14101,0,0,1
14399,0,0,0
14396,0,0,0
14397,0,0,0
32187,0,0,1
32079,0,0,1
29300,0,0,3
32177,0,0,0
29406,0,0,7
32138,0,0,0
32167,0,0,2
32121,0,0,0
32163,0,0,0
32159,0,0,1
32067,0,0,1
32156,0,0,0
32065,0,0,0
32144,0,0,0
32169,1,5,2
29168,0,0,3
32180,0,0,1
29307,0,0,1
29239,0,0,1
29289,0,0,0
29256,0,0,1
29233,0,0,0
29266,1,5,5
29235,0,0,2
29267,0,0,1
29258,0,0,13
32158,0,0,0
32147,0,0,2
29271,0,0,4
32073,0,0,0
29240,0,0,0
32078,0,0,0
32077,0,0,0
29282,1,5,1
29241,0,0,2
32157,0,0,1
32133,0,0,0
32129,0,0,0
29248,0,0,2
29274,0,0,0
29293,0,0,2
29294,0,0,1
29252,0,0,0
32146,0,0,0
29298,0,0,4
32164,0,0,0
32135,0,0,0
32119,0,0,0
32165,0,0,0
32161,0,0,0
29285,0,0,1
29276,0,0,1
32127,0,0,0
29277,0,0,2
32155,0,0,1
32143,0,0,0
32181,0,0,0
32176,0,0,1
29312,0,0,0
32074,0,0,0
29247,0,0,0
29287,0,0,1
32179,0,0,1
32183,0,0,0
32140,0,0,0
32185,0,0,0
32069,0,0,1
29302,0,0,1
32126,0,0,0
32083,0,0,0
32082,0,0,0
29297,0,0,0
29299,0,0,0
29238,0,0,2
29303,0,0,3
32085,0,0,0
32071,0,0,1
32139,0,0,0
32150,0,0,0
32137,0,0,0
32070,0,0,0
32173,0,0,0
32182,0,0,0
29242,0,0,2
29278,0,0,8
29264,0,0,3
32170,0,0,1
32068,0,0,1
29257,0,0,2
29250,0,0,1
29290,0,0,0
32168,0,0,1
29283,0,0,9
29295,0,0,6
29309,0,0,0
29253,0,0,1
32175,0,0,0
29255,0,0,1
32084,0,0,0
32123,0,0,0
29284,0,0,2
29269,0,0,5
32136,0,0,0
29306,0,0,0
32172,0,0,0
32122,0,0,1
32149,0,0,1
32130,0,0,0
32117,0,0,0
32131,0,0,0
29245,0,0,2
29296,0,0,3
29236,0,0,1
29275,0,0,1
29308,0,0,0
32124,0,0,0
32151,0,0,1
29237,0,0,1
29286,0,0,1
29246,0,0,0
32141,0,0,0
32132,0,0,1
32153,0,0,1
29254,0,0,2
29304,0,0,3
29262,0,0,0
29291,0,0,0
29249,0,0,0
29270,0,0,4
32118,0,0,0
32148,0,0,0
32066,0,0,0
32072,0,0,0
32075,0,0,0
32145,0,0,2
32171,0,0,1
32142,0,0,0
32128,0,0,1
32152,0,0,0
29301,0,0,0
29268,0,0,0
29292,0,0,1
32184,0,0,0
29261,0,0,1
29310,0,0,0
32076,0,0,1
32166,0,0,2
32154,0,0,0
32174,0,0,0
29251,0,0,1
29288,0,0,0
29263,0,0,4
32125,0,0,0
32178,0,0,0
32120,0,0,0
32080,0,0,0
32081,0,0,1
22978,0,0,5
31007,0,0,1
25229,0,0,0
30985,0,0,0
30986,0,0,0
22898,0,0,0
22967,0,0,1
22982,0,0,0
22975,0,0,3
22986,0,0,2
22994,0,0,3
22985,1,5,2
25208,0,0,2
25222,0,0,1
22987,4,5,19
22995,0,0,0
25209,0,0,0
25121,0,0,0
22973,0,0,1
22993,0,0,2
22988,0,0,5
25124,0,0,0
22998,0,0,1
29668,0,0,6
22971,0,0,8
25206,0,0,2
22970,0,0,2
22997,0,0,5
22996,0,0,1
22989,0,0,0
22984,0,0,3
22991,0,0,1
22980,0,0,1
25211,0,0,0
25122,0,0,0
25205,0,0,0
22992,0,0,6
25227,0,0,0
25224,1,5,1
25210,0,0,0
22901,0,0,0
22983,0,0,1
29669,0,0,1
22981,0,0,1
25123,0,0,0
22976,0,0,3
25207,0,0,0
25125,0,0,1
22968,0,0,4
22972,0,0,2
22977,1,5,1
25228,0,0,4
31010,0,0,1
22903,2,5,6
25363,1,5,2
25405,0,0,3
25406,0,0,1
25396,0,0,3
22902,0,0,1
25403,0,0,1
25402,0,0,5
28535,0,0,0
28817,0,0,4
22979,0,0,2
31009,0,0,0
25260,0,0,2
25258,0,0,0
25241,0,0,0
25250,0,0,1
25252,0,0,1
25254,1,5,4
